Plot Title: 9735539_SM_LM_B2_trmt,,,,,,,,,,,,,,,
#,,"Date Time, GMT-06:00",,"PAR, uE (LGR S/N: 9735539, SEN S/N: 9700886)","PAR, uE (LGR S/N: 9735539, SEN S/N: 9700897)","PAR, uE (LGR S/N: 9735539, SEN S/N: 9700898)","Temp, °F (LGR S/N: 9735539, SEN S/N: 9719147, LBL: LM_B2)","Solar Radiation, W/m² (LGR S/N: 9735539, SEN S/N: 9719458)","Temp, °F (LGR S/N: 9735539, SEN S/N: 9721325)","RH, % (LGR S/N: 9735539, SEN S/N: 9721325)","Voltage, V (LGR S/N: 9735539, SEN S/N: 9725487)","Solar Radiation, W/m² (LGR S/N: 9735539, SEN S/N: 9734410)","Solar Radiation, W/m² (LGR S/N: 9735539, SEN S/N: 9734417)","Water Content, m³/m³ (LGR S/N: 9735539, SEN S/N: 20145934, LBL: LM_B2R)","Water Content, m³/m³ (LGR S/N: 9735539, SEN S/N: 20145936, LBL: LM_B2L)"
Site,Treatment,Date,Time,PAR.up,PAR.left,PAR.right,ST,SR.right,Air.T,RH,,SR.up,SR.left,SWC.right,SWC.left
LM,early,5/18/2019,1:00,1.2,1.2,1.2,39.643,0.6,27.955,96.2,-0.1988,0.6,0.6,0.3219,0.3136
LM,early,5/18/2019,1:10,1.2,1.2,1.2,39.596,0.6,27.223,96.2,-0.1988,0.6,0.6,0.3219,0.3136
LM,early,5/18/2019,1:20,1.2,1.2,1.2,39.549,0.6,26.802,96.2,-0.1988,0.6,0.6,0.3219,0.3133
LM,early,5/18/2019,1:30,1.2,1.2,1.2,39.454,0.6,26.537,96.6,-0.1988,0.6,0.6,0.3219,0.3133
LM,early,5/18/2019,1:40,1.2,1.2,1.2,39.36,0.6,26.643,96.9,-0.1988,0.6,0.6,0.3219,0.3133
LM,early,5/18/2019,1:50,1.2,1.2,1.2,39.313,0.6,27.433,97,-0.1988,0.6,0.6,0.3219,0.3133
LM,early,5/18/2019,2:00,1.2,1.2,1.2,39.22,0.6,26.96,96.1,-0.1988,0.6,0.6,0.3219,0.3133
LM,early,5/18/2019,2:10,1.2,1.2,1.2,39.173,0.6,26.854,96.5,-0.1988,0.6,0.6,0.3219,0.3133
LM,early,5/18/2019,2:20,1.2,1.2,1.2,39.078,0.6,27.275,97.1,-0.1988,0.6,0.6,0.3219,0.3133
LM,early,5/18/2019,2:30,1.2,1.2,1.2,39.031,0.6,27.538,97.3,-0.1988,0.6,0.6,0.3219,0.3133
LM,early,5/18/2019,2:40,1.2,1.2,1.2,38.984,0.6,28.164,97.4,-0.1988,0.6,0.6,0.3219,0.3128
LM,early,5/18/2019,2:50,1.2,1.2,1.2,38.889,0.6,28.164,97.1,-0.1988,0.6,0.6,0.3219,0.3128
LM,early,5/18/2019,3:00,1.2,1.2,1.2,38.889,0.6,28.321,97.1,-0.1988,0.6,0.6,0.3216,0.3133
LM,early,5/18/2019,3:10,1.2,1.2,1.2,38.842,0.6,28.216,96.9,-0.1988,0.6,0.6,0.3219,0.3133
LM,early,5/18/2019,3:20,1.2,1.2,1.2,38.795,0.6,28.112,97,-0.1988,0.6,0.6,0.3216,0.3133
LM,early,5/18/2019,3:30,1.2,1.2,1.2,38.7,0.6,28.112,97.1,-0.1988,0.6,0.6,0.3219,0.3133
LM,early,5/18/2019,3:40,1.2,1.2,1.2,38.606,0.6,27.799,96.5,-0.1988,0.6,0.6,0.3219,0.3133
LM,early,5/18/2019,3:50,1.2,1.2,1.2,38.511,0.6,27.381,96.6,-0.1988,0.6,0.6,0.3219,0.3133
LM,early,5/18/2019,4:00,1.2,1.2,1.2,38.464,0.6,27.171,96.5,-0.1988,0.6,0.6,0.3219,0.3133
LM,early,5/18/2019,4:10,1.2,1.2,1.2,38.368,0.6,27.275,96.5,-0.1988,0.6,0.6,0.3219,0.3133
LM,early,5/18/2019,4:20,1.2,1.2,1.2,38.322,0.6,27.381,96.2,-0.1988,0.6,0.6,0.3219,0.3133
LM,early,5/18/2019,4:30,1.2,1.2,1.2,38.273,0.6,27.275,96.1,-0.1988,0.6,0.6,0.3219,0.3133
LM,early,5/18/2019,4:40,1.2,1.2,1.2,38.226,0.6,27.275,95.5,-0.1988,0.6,0.6,0.3219,0.3133
LM,early,5/18/2019,4:50,1.2,1.2,1.2,38.131,0.6,27.223,95.6,-0.1988,0.6,0.6,0.3216,0.3133
LM,early,5/18/2019,5:00,1.2,1.2,1.2,38.131,0.6,27.064,95.6,-0.1988,0.6,0.6,0.3216,0.3133
LM,early,5/18/2019,5:10,1.2,1.2,1.2,38.084,0.6,27.012,95.3,-0.1988,0.6,0.6,0.3219,0.3133
LM,early,5/18/2019,5:20,1.2,1.2,1.2,38.037,0.6,27.118,94.2,-0.1988,0.6,0.6,0.3219,0.3133
LM,early,5/18/2019,5:30,1.2,1.2,1.2,38.037,0.6,27.012,94.2,-0.1988,0.6,0.6,0.3216,0.3133
LM,early,5/18/2019,5:40,1.2,1.2,1.2,37.989,0.6,26.695,95.3,-0.1988,0.6,0.6,0.3216,0.3133
LM,early,5/18/2019,5:50,1.2,1.2,1.2,37.942,0.6,26.589,94.6,-0.1988,0.6,0.6,0.3216,0.3133
LM,early,5/18/2019,6:00,1.2,1.2,1.2,37.942,0.6,26.643,93.8,-0.1988,0.6,0.6,0.3216,0.3133
LM,early,5/18/2019,6:10,3.7,1.2,3.7,37.942,0.6,26.802,93.9,-0.1988,0.6,0.6,0.3216,0.3133
LM,early,5/18/2019,6:20,6.2,3.7,6.2,37.893,3.1,26.96,94.9,-0.1988,3.1,1.9,0.3216,0.3133
LM,early,5/18/2019,6:30,11.2,3.7,8.7,37.893,4.4,27.275,95.4,-0.1988,4.4,1.9,0.3216,0.3133
LM,early,5/18/2019,6:40,16.2,8.7,16.2,37.893,6.9,27.433,95.7,-0.1988,8.1,4.4,0.3216,0.3133
LM,early,5/18/2019,6:50,28.7,16.2,31.2,37.846,14.4,27.851,95.9,-0.1988,14.4,9.4,0.3216,0.3133
LM,early,5/18/2019,7:00,51.2,28.7,56.2,37.846,26.9,28.58,95.3,-0.1988,26.9,18.1,0.3216,0.3133
LM,early,5/18/2019,7:10,83.7,46.2,88.7,37.846,43.1,29.662,93.7,-0.1988,43.1,29.4,0.3216,0.3136
LM,early,5/18/2019,7:20,96.2,51.2,101.2,37.798,49.4,31.037,92,-0.1988,50.6,33.1,0.3216,0.3136
LM,early,5/18/2019,7:30,128.7,73.7,138.7,37.846,68.1,30.682,91.5,-0.1988,66.9,46.9,0.3219,0.3136
LM,early,5/18/2019,7:40,211.2,116.2,226.2,37.846,113.1,32.592,89,-0.1988,110.6,75.6,0.3219,0.3133
LM,early,5/18/2019,7:50,248.7,93.7,188.7,37.846,90.6,33.78,87.9,-0.1988,88.1,60.6,0.3219,0.3136
LM,early,5/18/2019,8:00,253.7,86.2,176.2,37.846,84.4,34.223,84.6,-0.1988,93.1,55.6,0.3219,0.3136
LM,early,5/18/2019,8:10,223.7,78.7,158.7,37.846,73.1,31.692,85.6,-0.1988,95.6,46.9,0.3216,0.3136
LM,early,5/18/2019,8:20,306.2,98.7,203.7,37.846,94.4,31.842,85.6,-0.1988,153.1,60.6,0.3219,0.3136
LM,early,5/18/2019,8:30,963.7,193.7,441.2,37.893,225.6,36.313,83.3,-0.1988,583.1,126.9,0.3216,0.3136
LM,early,5/18/2019,8:40,891.2,138.7,313.7,37.942,153.1,39.22,79.3,-0.1988,449.4,88.1,0.3216,0.3136
LM,early,5/18/2019,8:50,1723.7,243.7,531.2,38.037,276.9,36.169,77.5,-0.1988,936.9,160.6,0.3216,0.314
LM,early,5/18/2019,9:00,1216.2,146.2,311.2,38.084,160.6,36.459,78,-0.1988,628.1,96.9,0.3216,0.314
LM,early,5/18/2019,9:10,1506.2,156.2,316.2,38.131,165.6,37.225,77.8,-0.1988,785.6,105.6,0.3216,0.314
LM,early,5/18/2019,9:20,1578.7,138.7,251.2,38.179,133.1,37.369,77.8,-0.1988,816.9,95.6,0.3277,0.3144
LM,early,5/18/2019,9:30,1686.2,113.7,188.7,38.322,106.9,38.226,75.4,-0.1988,873.1,84.4,0.329,0.3156
LM,early,5/18/2019,9:40,1663.7,86.2,131.2,38.7,84.4,38.037,73.6,-0.1988,855.6,70.6,0.3295,0.316
LM,early,5/18/2019,9:50,1776.2,73.7,103.7,39.22,78.1,39.22,73.9,-0.1988,918.1,66.9,0.3295,0.316
LM,early,5/18/2019,10:00,2251.2,73.7,98.7,39.69,89.4,40.485,71.1,-0.1988,1170.6,75.6,0.329,0.3163
LM,early,5/18/2019,10:10,2066.2,53.7,73.7,40.204,76.9,40.017,71.6,-0.1988,1060.6,63.1,0.3286,0.3168
LM,early,5/18/2019,10:20,888.7,21.2,28.7,40.811,28.1,38.748,69.5,-0.1988,435.6,24.4,0.3286,0.3163
LM,early,5/18/2019,10:30,1721.2,41.2,58.7,41.23,61.9,42.202,68.8,-0.1988,870.6,49.4,0.3282,0.3163
LM,early,5/18/2019,10:40,1161.2,26.2,38.7,41.508,40.6,42.525,65.4,-0.1988,576.9,33.1,0.3282,0.3163
LM,early,5/18/2019,10:50,826.2,18.7,28.7,41.832,29.4,39.173,71.5,-0.1988,409.4,24.4,0.3277,0.3163
LM,early,5/18/2019,11:00,1916.2,43.7,68.7,42.109,71.9,40.158,79.5,-0.1988,988.1,56.9,0.3274,0.3163
LM,early,5/18/2019,11:10,1813.7,41.2,63.7,42.386,66.9,43.624,67.6,-0.1988,916.9,51.9,0.3265,0.3163
LM,early,5/18/2019,11:20,976.2,23.7,36.2,42.892,35.6,39.549,70.9,-0.1988,483.1,29.4,0.3269,0.3163
LM,early,5/18/2019,11:30,1338.7,31.2,48.7,43.306,48.1,40.204,70.3,-0.1988,665.6,39.4,0.3265,0.3163
LM,early,5/18/2019,11:40,2026.2,46.2,73.7,43.534,73.1,39.313,69.5,-0.1988,1020.6,58.1,0.3265,0.3163
LM,early,5/18/2019,11:50,1918.7,43.7,68.7,43.763,69.4,40.626,71.5,-0.1988,971.9,55.6,0.3261,0.3163
LM,early,5/18/2019,12:00,1948.7,43.7,71.2,43.9,70.6,41.416,67.7,-0.1988,979.4,54.4,0.3261,0.3163
LM,early,5/18/2019,12:10,883.7,23.7,31.2,44.082,30.6,39.736,64.1,-0.1988,426.9,25.6,0.3261,0.3163
LM,early,5/18/2019,12:20,1963.7,43.7,68.7,44.263,69.4,41.832,67.9,-0.1988,996.9,55.6,0.3261,0.3163
LM,early,5/18/2019,12:30,2303.7,51.2,83.7,44.355,84.4,45.714,64.4,-0.1988,1183.1,64.4,0.3256,0.3163
LM,early,5/18/2019,12:40,1063.7,28.7,38.7,44.627,38.1,43.808,61.2,-0.1988,521.9,31.9,0.3256,0.3163
LM,early,5/18/2019,12:50,1148.7,28.7,41.2,44.991,40.6,39.69,63.6,-0.1988,564.4,33.1,0.3252,0.316
LM,early,5/18/2019,13:00,1783.7,43.7,66.2,45.172,64.4,40.064,63.6,-0.1988,886.9,50.6,0.3249,0.3163
LM,early,5/18/2019,13:10,2441.2,56.2,88.7,45.217,88.1,46.571,58.7,-0.1988,1245.6,66.9,0.3252,0.3163
LM,early,5/18/2019,13:20,1311.2,33.7,48.7,45.354,46.9,42.847,58.2,-0.1988,650.6,38.1,0.3249,0.3163
LM,early,5/18/2019,13:30,1013.7,26.2,38.7,45.534,36.9,40.672,61.6,-0.1988,496.9,29.4,0.3252,0.3163
LM,early,5/18/2019,13:40,1678.7,38.7,61.2,45.714,59.4,36.891,73.4,-0.1988,835.6,44.4,0.3249,0.3163
LM,early,5/18/2019,13:50,1938.7,43.7,68.7,45.714,66.9,42.341,64.8,-0.1988,966.9,50.6,0.3249,0.316
LM,early,5/18/2019,14:00,1738.7,38.7,61.2,45.761,58.1,44.263,64,-0.1988,856.9,44.4,0.3244,0.316
LM,early,5/18/2019,14:10,888.7,23.7,31.2,45.941,30.6,46.706,50.5,-0.1988,426.9,26.9,0.3249,0.316
LM,early,5/18/2019,14:20,1151.2,28.7,41.2,46.166,40.6,43.9,53.6,-0.1988,564.4,33.1,0.3249,0.316
LM,early,5/18/2019,14:30,1133.7,28.7,41.2,46.436,40.6,43.716,61.3,-0.1988,561.9,33.1,0.3249,0.316
LM,early,5/18/2019,14:40,1168.7,31.2,43.7,46.616,41.9,44.627,57.6,-0.1988,581.9,35.6,0.3244,0.316
LM,early,5/18/2019,14:50,748.7,18.7,28.7,46.796,26.9,42.57,59.2,-0.1988,370.6,21.9,0.3244,0.3163
LM,early,5/18/2019,15:00,188.7,3.7,6.2,46.796,5.6,34.371,75.4,-0.1988,90.6,4.4,0.3244,0.3156
LM,early,5/18/2019,15:10,253.7,6.2,8.7,46.571,8.1,32.641,84.3,-0.1988,115.6,5.6,0.3249,0.3156
LM,early,5/18/2019,15:20,166.2,3.7,6.2,46.076,4.4,32.392,84.5,-0.1988,71.9,3.1,0.3249,0.3156
LM,early,5/18/2019,15:30,141.2,3.7,6.2,45.534,3.1,30.884,88.4,-0.1988,60.6,3.1,0.3244,0.3156
LM,early,5/18/2019,15:40,166.2,6.2,11.2,44.946,5.6,30.376,91,-0.1988,71.9,4.4,0.3244,0.3156
LM,early,5/18/2019,15:50,186.2,21.2,31.2,44.4,16.9,30.376,91.5,-0.1988,95.6,14.4,0.3244,0.3156
LM,early,5/18/2019,16:00,178.7,23.7,36.2,43.9,18.1,30.884,92.5,-0.1988,90.6,16.9,0.3249,0.3156
LM,early,5/18/2019,16:10,96.2,13.7,18.7,43.488,8.1,31.692,92.2,-0.1988,51.9,8.1,0.3244,0.3156
LM,early,5/18/2019,16:20,46.2,8.7,13.7,43.167,4.4,30.987,91.9,-0.1988,19.4,4.4,0.3244,0.3156
LM,early,5/18/2019,16:30,36.2,13.7,21.2,42.892,8.1,30.123,92.9,-0.1988,15.6,5.6,0.3244,0.3156
LM,early,5/18/2019,16:40,46.2,23.7,43.7,42.525,16.9,30.072,93,-0.1988,19.4,11.9,0.324,0.3156
LM,early,5/18/2019,16:50,78.7,53.7,98.7,42.202,44.4,31.44,92.3,-0.1988,38.1,31.9,0.3244,0.3156
LM,early,5/18/2019,17:00,91.2,68.7,123.7,41.878,55.6,31.993,90.1,-0.1988,43.1,39.4,0.324,0.316
LM,early,5/18/2019,17:10,133.7,86.2,153.7,41.648,71.9,32.841,88.7,-0.1988,56.9,51.9,0.324,0.3156
LM,early,5/18/2019,17:20,321.2,141.2,256.2,41.508,120.6,33.78,88.2,-0.1988,130.6,88.1,0.324,0.3156
LM,early,5/18/2019,17:30,423.7,106.2,208.7,41.369,95.6,35.298,85.3,-0.1988,184.4,66.9,0.3235,0.3156
LM,early,5/18/2019,17:40,651.2,88.7,173.7,41.322,78.1,34.371,86.8,-0.1988,326.9,56.9,0.3235,0.3156
LM,early,5/18/2019,17:50,813.7,91.2,188.7,41.322,84.4,35.395,86.2,-0.1988,414.4,61.9,0.3235,0.3156
LM,early,5/18/2019,18:00,803.7,78.7,156.2,41.322,73.1,36.169,85.6,-0.1988,415.6,54.4,0.3235,0.3156
LM,early,5/18/2019,18:10,701.2,63.7,121.2,41.322,56.9,36.747,84.2,-0.1988,360.6,45.6,0.324,0.3156
LM,early,5/18/2019,18:20,333.7,28.7,56.2,41.322,24.4,36.505,82.4,-0.1988,149.4,19.4,0.3235,0.316
LM,early,5/18/2019,18:30,306.2,26.2,46.2,41.322,20.6,33.732,85.3,-0.1988,139.4,18.1,0.3235,0.316
LM,early,5/18/2019,18:40,193.7,16.2,33.7,41.322,15.6,32.243,87.6,-0.1988,86.9,9.4,0.324,0.316
LM,early,5/18/2019,18:50,238.7,21.2,43.7,41.23,23.1,32.641,88.1,-0.1988,119.4,14.4,0.3244,0.3156
LM,early,5/18/2019,19:00,166.2,13.7,28.7,41.137,14.4,33.039,87.6,-0.1988,81.9,9.4,0.3249,0.3156
LM,early,5/18/2019,19:10,196.2,16.2,31.2,41.09,16.9,33.188,86.5,-0.1988,103.1,11.9,0.3249,0.316
LM,early,5/18/2019,19:20,83.7,6.2,13.7,41.043,5.6,32.742,87.3,-0.1988,36.9,3.1,0.3249,0.316
LM,early,5/18/2019,19:30,76.2,3.7,11.2,40.951,5.6,32.142,87.9,-0.1988,35.6,3.1,0.3244,0.316
LM,early,5/18/2019,19:40,71.2,3.7,8.7,40.905,5.6,32.491,86.6,-0.1988,43.1,4.4,0.3249,0.316
LM,early,5/18/2019,19:50,58.7,3.7,8.7,40.811,5.6,32.443,87.3,-0.1988,38.1,4.4,0.3249,0.316
LM,early,5/18/2019,20:00,38.7,1.2,6.2,40.719,4.4,32.043,88.8,-0.1988,29.4,1.9,0.3249,0.316
LM,early,5/18/2019,20:10,18.7,1.2,1.2,40.579,1.9,31.743,89.4,-0.1988,15.6,0.6,0.3249,0.316
LM,early,5/18/2019,20:20,3.7,1.2,1.2,40.532,0.6,30.682,91.9,-0.1988,1.9,0.6,0.3244,0.3156
LM,early,5/18/2019,20:30,1.2,1.2,1.2,40.392,0.6,29.662,92.8,-0.1988,0.6,0.6,0.3244,0.3151
LM,early,5/18/2019,20:40,1.2,1.2,1.2,40.298,0.6,28.684,93.5,-0.1988,0.6,0.6,0.3244,0.3151
LM,early,5/18/2019,20:50,1.2,1.2,1.2,40.111,0.6,28.58,94.1,-0.1988,0.6,0.6,0.324,0.3151
LM,early,5/18/2019,21:00,1.2,1.2,1.2,39.924,0.6,28.425,92.7,-0.1988,0.6,0.6,0.324,0.3151
LM,early,5/18/2019,21:10,1.2,1.2,1.2,39.736,0.6,27.59,93.9,-0.1988,0.6,0.6,0.324,0.3151
LM,early,5/18/2019,21:20,1.2,1.2,1.2,39.549,0.6,27.955,94.2,-0.1988,0.6,0.6,0.324,0.3148
LM,early,5/18/2019,21:30,1.2,1.2,1.2,39.36,0.6,27.171,93,-0.1988,0.6,0.6,0.324,0.3148
LM,early,5/18/2019,21:40,1.2,1.2,1.2,39.22,0.6,26.164,94.7,-0.1988,0.6,0.6,0.324,0.3148
LM,early,5/18/2019,21:50,1.2,1.2,1.2,39.031,0.6,26.112,95.4,-0.1988,0.6,0.6,0.324,0.3148
LM,early,5/18/2019,22:00,1.2,1.2,1.2,38.889,0.6,27.538,95.1,-0.1988,0.6,0.6,0.3235,0.3148
LM,early,5/18/2019,22:10,1.2,1.2,1.2,38.748,0.6,26.164,94.4,-0.1988,0.6,0.6,0.3235,0.3148
LM,early,5/18/2019,22:20,1.2,1.2,1.2,38.606,0.6,26.164,95.5,-0.1988,0.6,0.6,0.3235,0.3144
LM,early,5/18/2019,22:30,1.2,1.2,1.2,38.511,0.6,25.632,94.3,-0.1988,0.6,0.6,0.3235,0.3144
LM,early,5/18/2019,22:40,1.2,1.2,1.2,38.322,0.6,25.255,94.9,-0.1988,0.6,0.6,0.3235,0.3144
LM,early,5/18/2019,22:50,1.2,1.2,1.2,38.226,0.6,25.792,94.9,-0.1988,0.6,0.6,0.3235,0.3144
LM,early,5/18/2019,23:00,1.2,1.2,1.2,38.084,0.6,25.417,94.2,-0.1988,0.6,0.6,0.3235,0.3144
LM,early,5/18/2019,23:10,1.2,1.2,1.2,37.989,0.6,25.417,94.2,-0.1988,0.6,0.6,0.3235,0.3144
LM,early,5/18/2019,23:20,1.2,1.2,1.2,37.846,0.6,25.201,94.3,-0.1988,0.6,0.6,0.3231,0.314
LM,early,5/18/2019,23:30,1.2,1.2,1.2,37.751,0.6,24.337,94,-0.1988,0.6,0.6,0.3231,0.3144
LM,early,5/18/2019,23:40,1.2,1.2,1.2,37.656,0.6,23.738,94,-0.1988,0.6,0.6,0.3231,0.3144
LM,early,5/18/2019,23:50,1.2,1.2,1.2,37.513,0.6,23.518,94,-0.1988,0.6,0.6,0.3231,0.3144
LM,early,5/19/2019,0:00,1.2,1.2,1.2,37.416,0.6,23.409,92.4,-0.1988,0.6,0.6,0.3231,0.3144
LM,early,5/19/2019,0:10,1.2,1.2,1.2,37.274,0.6,22.192,92.7,-0.1988,0.6,0.6,0.3231,0.3144
LM,early,5/19/2019,0:20,1.2,1.2,1.2,37.179,0.6,22.802,93.9,-0.1988,0.6,0.6,0.3231,0.3144
LM,early,5/19/2019,0:30,1.2,1.2,1.2,37.13,0.6,23.846,92.4,-0.1988,0.6,0.6,0.3228,0.3144
LM,early,5/19/2019,0:40,1.2,1.2,1.2,37.035,0.6,23.463,92.1,-0.1988,0.6,0.6,0.3228,0.314
LM,early,5/19/2019,0:50,1.2,1.2,1.2,36.939,0.6,22.302,92,-0.1988,0.6,0.6,0.3228,0.314
LM,early,5/19/2019,1:00,1.2,1.2,1.2,36.842,0.6,22.136,92.5,-0.1988,0.6,0.6,0.3228,0.314
LM,early,5/19/2019,1:10,1.2,1.2,1.2,36.795,0.6,22.413,92.5,-0.1988,0.6,0.6,0.3228,0.314
LM,early,5/19/2019,1:20,1.2,1.2,1.2,36.698,0.6,23.077,92.6,-0.1988,0.6,0.6,0.3228,0.314
LM,early,5/19/2019,1:30,1.2,1.2,1.2,36.603,0.6,24.066,91.8,-0.1988,0.6,0.6,0.3228,0.314
LM,early,5/19/2019,1:40,1.2,1.2,1.2,36.554,0.6,24.174,91.3,-0.1988,0.6,0.6,0.3228,0.314
LM,early,5/19/2019,1:50,1.2,1.2,1.2,36.459,0.6,24.228,91.6,-0.1988,0.6,0.6,0.3228,0.314
LM,early,5/19/2019,2:00,1.2,1.2,1.2,36.41,0.6,23.846,91.5,-0.1988,0.6,0.6,0.3228,0.314
LM,early,5/19/2019,2:10,1.2,1.2,1.2,36.361,0.6,23.243,91.2,-0.1988,0.6,0.6,0.3228,0.314
LM,early,5/19/2019,2:20,1.2,1.2,1.2,36.313,0.6,22.912,91.9,-0.1988,0.6,0.6,0.3228,0.314
LM,early,5/19/2019,2:30,1.2,1.2,1.2,36.266,0.6,23.243,92,-0.1988,0.6,0.6,0.3228,0.3136
LM,early,5/19/2019,2:40,1.2,1.2,1.2,36.217,0.6,23.409,91.8,-0.1988,0.6,0.6,0.3228,0.3136
LM,early,5/19/2019,2:50,1.2,1.2,1.2,36.12,0.6,23.682,92.1,-0.1988,0.6,0.6,0.3228,0.3136
LM,early,5/19/2019,3:00,1.2,1.2,1.2,36.072,0.6,23.738,91.1,-0.1988,0.6,0.6,0.3228,0.3136
LM,early,5/19/2019,3:10,1.2,1.2,1.2,36.025,0.6,23.518,91.7,-0.1988,0.6,0.6,0.3228,0.3136
LM,early,5/19/2019,3:20,1.2,1.2,1.2,36.025,0.6,23.299,91.7,-0.1988,0.6,0.6,0.3228,0.3136
LM,early,5/19/2019,3:30,1.2,1.2,1.2,35.928,0.6,23.572,91.6,-0.1988,0.6,0.6,0.3228,0.3136
LM,early,5/19/2019,3:40,1.2,1.2,1.2,35.879,0.6,22.525,90.8,-0.1988,0.6,0.6,0.3228,0.3136
LM,early,5/19/2019,3:50,1.2,1.2,1.2,35.83,0.6,22.024,91,-0.1988,0.6,0.6,0.3228,0.3136
LM,early,5/19/2019,4:00,1.2,1.2,1.2,35.782,0.6,21.688,90.7,-0.1988,0.6,0.6,0.3228,0.3136
LM,early,5/19/2019,4:10,1.2,1.2,1.2,35.733,0.6,21.069,90.5,-0.1988,0.6,0.6,0.3223,0.3136
LM,early,5/19/2019,4:20,1.2,1.2,1.2,35.685,0.6,20.273,91,-0.1988,0.6,0.6,0.3223,0.3136
LM,early,5/19/2019,4:30,1.2,1.2,1.2,35.638,0.6,19.468,91.9,-0.1988,0.6,0.6,0.3223,0.3136
LM,early,5/19/2019,4:40,1.2,1.2,1.2,35.541,0.6,19.121,92.9,-0.1988,0.6,0.6,0.3223,0.3133
LM,early,5/19/2019,4:50,1.2,1.2,1.2,35.492,0.6,19.006,93,-0.1988,0.6,0.6,0.3223,0.3133
LM,early,5/19/2019,5:00,1.2,1.2,1.2,35.443,0.6,19.929,92.6,-0.1988,0.6,0.6,0.3223,0.3136
LM,early,5/19/2019,5:10,1.2,1.2,1.2,35.395,0.6,20.102,92.8,-0.1988,0.6,0.6,0.3223,0.3133
LM,early,5/19/2019,5:20,1.2,1.2,1.2,35.346,0.6,21.011,92.3,-0.1988,0.6,0.6,0.3223,0.3133
LM,early,5/19/2019,5:30,1.2,1.2,1.2,35.249,0.6,20.728,92,-0.1988,0.6,0.6,0.3223,0.3133
LM,early,5/19/2019,5:40,1.2,1.2,1.2,35.2,0.6,20.898,92.2,-0.1988,0.6,0.6,0.3219,0.3133
LM,early,5/19/2019,5:50,6.2,1.2,1.2,35.2,0.6,20.955,91.9,-0.1988,3.1,0.6,0.3219,0.3133
LM,early,5/19/2019,6:00,16.2,1.2,1.2,35.152,0.6,20.615,91.8,-0.1988,6.9,0.6,0.3219,0.3133
LM,early,5/19/2019,6:10,33.7,1.2,3.7,35.055,1.9,19.756,91.8,-0.1988,15.6,0.6,0.3219,0.3133
LM,early,5/19/2019,6:20,53.7,3.7,8.7,35.055,4.4,19.641,92.9,-0.1988,25.6,3.1,0.3219,0.3133
LM,early,5/19/2019,6:30,81.2,6.2,13.7,35.006,5.6,20.502,92.5,-0.1988,38.1,4.4,0.3219,0.3133
LM,early,5/19/2019,6:40,191.2,16.2,33.7,34.957,19.4,21.688,93.1,-0.1988,103.1,14.4,0.3219,0.3133
LM,early,5/19/2019,6:50,198.7,16.2,33.7,34.907,19.4,24.391,91.1,-0.1988,103.1,14.4,0.3219,0.3133
LM,early,5/19/2019,7:00,246.2,21.2,43.7,34.907,25.6,24.445,89.8,-0.1988,128.1,18.1,0.3219,0.3133
LM,early,5/19/2019,7:10,236.2,21.2,41.2,34.858,21.9,24.609,90.7,-0.1988,118.1,15.6,0.3219,0.3133
LM,early,5/19/2019,7:20,203.7,16.2,33.7,34.858,18.1,25.095,89.9,-0.1988,98.1,11.9,0.3219,0.3133
LM,early,5/19/2019,7:30,248.7,21.2,41.2,34.858,21.9,25.524,89.3,-0.1988,119.4,14.4,0.3219,0.3133
LM,early,5/19/2019,7:40,306.2,23.7,51.2,34.858,25.6,26.431,88,-0.1988,146.9,18.1,0.3219,0.3133
LM,early,5/19/2019,7:50,426.2,36.2,73.7,34.858,38.1,26.906,88,-0.1988,206.9,26.9,0.3219,0.3136
LM,early,5/19/2019,8:00,461.2,38.7,76.2,34.858,39.4,27.851,88.9,-0.1988,223.1,28.1,0.3219,0.3136
LM,early,5/19/2019,8:10,511.2,41.2,83.7,34.858,43.1,29.559,86.6,-0.1988,248.1,31.9,0.3223,0.3136
LM,early,5/19/2019,8:20,558.7,43.7,88.7,34.858,45.6,30.429,85.5,-0.1988,274.4,33.1,0.3223,0.3136
LM,early,5/19/2019,8:30,881.2,71.2,136.2,34.858,73.1,33.386,81,-0.1988,444.4,53.1,0.3223,0.314
LM,early,5/19/2019,8:40,758.7,56.2,98.7,34.858,53.1,33.138,79.3,-0.1988,379.4,43.1,0.3219,0.314
LM,early,5/19/2019,8:50,798.7,53.7,91.2,34.858,50.6,33.039,81.2,-0.1988,399.4,43.1,0.3223,0.314
LM,early,5/19/2019,9:00,1061.2,61.2,93.7,34.907,56.9,34.272,79.7,-0.1988,534.4,51.9,0.3223,0.314
LM,early,5/19/2019,9:10,1083.7,51.2,68.7,34.957,48.1,38.368,77.3,-0.1988,543.1,45.6,0.3219,0.3136
LM,early,5/19/2019,9:20,863.7,33.7,41.2,34.957,31.9,36.025,77.4,-0.1988,425.6,31.9,0.3223,0.3136
LM,early,5/19/2019,9:30,913.7,31.2,36.2,35.103,30.6,37.465,76,-0.1988,451.9,30.6,0.3223,0.3136
LM,early,5/19/2019,9:40,776.2,21.2,26.2,35.346,24.4,36.554,78.7,-0.1988,381.9,23.1,0.3223,0.3136
LM,early,5/19/2019,9:50,791.2,18.7,21.2,35.733,24.4,36.361,78.2,-0.1988,389.4,21.9,0.3223,0.3136
