"Plot Title: 20290164_SM_UM_A2_ctrl"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 20290164, SEN S/N: 9719170, LBL: A2_Lmeadow)","Water Content, m³/m³ (LGR S/N: 20290164, SEN S/N: 20152228, LBL: A2_Lmeadow)","Water Content, m³/m³ (LGR S/N: 20290164, SEN S/N: 20152229, LBL: A2_Rshrub)"
351,06/25/19 01:00:01 AM,49.471,0.2367,0.2498
352,06/25/19 02:00:01 AM,48.672,0.2355,0.2498
353,06/25/19 03:00:01 AM,47.871,0.2351,0.2502
354,06/25/19 04:00:01 AM,47.109,0.2351,0.2502
355,06/25/19 05:00:01 AM,46.391,0.2335,0.2505
356,06/25/19 06:00:01 AM,45.714,0.2351,0.2505
357,06/25/19 07:00:01 AM,45.127,0.2347,0.2505
358,06/25/19 08:00:01 AM,44.809,0.2367,0.2509
359,06/25/19 09:00:01 AM,44.946,0.2335,0.2509
360,06/25/19 10:00:01 AM,45.669,0.2347,0.2502
361,06/25/19 11:00:01 AM,46.886,0.2339,0.2494
362,06/25/19 12:00:01 PM,48.628,0.2330,0.2487
363,06/25/19 01:00:01 PM,50.400,0.2327,0.2471
364,06/25/19 02:00:01 PM,51.809,0.2327,0.2464
365,06/25/19 03:00:01 PM,53.121,0.2323,0.2452
366,06/25/19 04:00:01 PM,54.343,0.2318,0.2445
367,06/25/19 05:00:01 PM,55.515,0.2311,0.2434
368,06/25/19 06:00:01 PM,56.035,0.2323,0.2430
369,06/25/19 07:00:01 PM,55.819,0.2311,0.2425
370,06/25/19 08:00:01 PM,55.256,0.2315,0.2421
371,06/25/19 09:00:01 PM,54.473,0.2311,0.2425
372,06/25/19 10:00:01 PM,53.472,0.2306,0.2421
373,06/25/19 11:00:01 PM,52.466,0.2306,0.2421
374,06/26/19 12:00:01 AM,51.413,0.2303,0.2425
375,06/26/19 01:00:01 AM,50.488,0.2303,0.2425
376,06/26/19 02:00:01 AM,49.604,0.2294,0.2430
377,06/26/19 03:00:01 AM,48.850,0.2299,0.2434
378,06/26/19 04:00:01 AM,48.137,0.2299,0.2434
379,06/26/19 05:00:01 AM,47.512,0.2294,0.2434
380,06/26/19 06:00:01 AM,46.931,0.2294,0.2434
381,06/26/19 07:00:01 AM,46.346,0.2294,0.2437
382,06/26/19 08:00:01 AM,46.076,0.2299,0.2441
383,06/26/19 09:00:01 AM,46.301,0.2294,0.2441
384,06/26/19 10:00:01 AM,46.974,0.2291,0.2437
385,06/26/19 11:00:01 AM,48.137,0.2277,0.2421
386,06/26/19 12:00:01 PM,49.782,0.2274,0.2414
387,06/26/19 01:00:01 PM,51.589,0.2269,0.2403
388,06/26/19 02:00:01 PM,53.384,0.2269,0.2394
389,06/26/19 03:00:01 PM,54.952,0.2266,0.2379
390,06/26/19 04:00:01 PM,56.122,0.2257,0.2363
391,06/26/19 05:00:01 PM,57.074,0.2262,0.2358
392,06/26/19 06:00:01 PM,57.679,0.2249,0.2347
393,06/26/19 07:00:01 PM,57.807,0.2254,0.2344
394,06/26/19 08:00:01 PM,57.247,0.2249,0.2335
395,06/26/19 09:00:01 PM,56.251,0.2245,0.2335
396,06/26/19 10:00:01 PM,55.125,0.2245,0.2330
397,06/26/19 11:00:01 PM,53.994,0.2245,0.2335
398,06/27/19 12:00:01 AM,52.947,0.2241,0.2339
399,06/27/19 01:00:01 AM,51.940,0.2237,0.2344
400,06/27/19 02:00:01 AM,50.974,0.2237,0.2344
401,06/27/19 03:00:01 AM,50.092,0.2232,0.2344
402,06/27/19 04:00:01 AM,49.294,0.2232,0.2347
403,06/27/19 05:00:01 AM,48.628,0.2232,0.2347
404,06/27/19 06:00:01 AM,48.049,0.2229,0.2347
405,06/27/19 07:00:01 AM,47.557,0.2229,0.2351
406,06/27/19 08:00:01 AM,47.422,0.2232,0.2355
407,06/27/19 09:00:01 AM,47.781,0.2224,0.2355
408,06/27/19 10:00:01 AM,48.450,0.2237,0.2347
409,06/27/19 11:00:01 AM,49.338,0.2229,0.2344
410,06/27/19 12:00:01 PM,50.797,0.2211,0.2327
411,06/27/19 01:00:01 PM,52.466,0.2203,0.2318
412,06/27/19 02:00:01 PM,53.865,0.2198,0.2299
413,06/27/19 03:00:01 PM,55.386,0.2190,0.2294
414,06/27/19 04:00:01 PM,56.728,0.2190,0.2277
